z	Ep	BV	Adr	Dec	SS	KD	GAM	Puf	NMZ	Gattung neu	Gattung alt	ID	Ordnungsnummer	RBD oder Bezirk	BW	Hst	Artikelnummer	Set	LüP	Datum	Ohne OVP	Zust	Kaufpreis	Quelle	Anmerkung
;Dampfloks
	I	KPEV			Ohne	-	-	-	-		T12	L119	6081	Altona		Tr	12005		45	04.07.2023		gebr	78	ebay	
	II	DRG			Ohne	-	-	-	-	98^3	PtL2/2	L48	98 303			Tr	12212		45	21.07.2018		neuw	80,4	ebay	
	I	KPEV	94	DCX76	Ohne	-	x	x	-		T161	L120	8177	Trier		Fl	7823	7893	79	31.05.2022		neuw	53,35	ebay	Mit Staco Im Set, Wagen bewertet. 
x	I	KPEV			Ohne	-	-	-	-		T161	L121	8177	Trier		Fl	7823	7893	79	03.05.2024		neuw	70	ebay	Im Set. Mit 70€ bewertet
x	I	KPEV			Ohne	-	-	-	-		T161	L122	8177	Trier		Fl	7823	7893	79	24.10.2024		neuw	39,95	ebay	Im Set, Wagen mit je 10€ bewertet
	I	KPEV			Ohne	x	-	-	-		T161	L123	8169			Fl	709483		79	16.09.2024		gebr	61	ebay	Dunkelgrün. Fallschäden, zu reparieren
	II	DRG			Ohne	-	-	-	-	94^5-17	T161	L49	94 733	Mainz	Darmstadt-Kranichstatt	Fl	7091		79	04.09.2021		neuw	94,99	ebay	
x	II	DRG			Ohne	-	-	-	-	94^5-17	T161	L50	94 956	Breslau	Sommerfeld	Fl	7093		79	13.10.1995		neu	92,4364592014643	SpMax	Zerlegt
	II	DRG			Ohne	-	-	-	-	95	T20	L51	95 003	Nürnberg	Saalfeld	HN	2419		95	08.07.2020		neu	117	ebay	dm-Toys-Exemplar. Steuerung gerichtet (Überschlag). Gehäuse nicht stramm aufgeschraubt, sonst leidet Kontakt bei Vorwärtsfahrt. Schnarren könnte an Motoraufhängung liegen. Kleineren Decoder als N25 nehmen, der passt nicht zwischen die beiden spulenartigen Widerstände und trägt zu strammem Gehäuse bei.
	IV	DR		N025	NEM651	-	-	-	-	95	pr T20	L124	95 0009-1	Erfurt	Probstzella	HN	2186		95	22.06.2019		neu	139,99	Elriwa	
	II	DRG			Ohne	-	-	-	-	96	Gt 2x4/4	L52	96 022	Nürnberg	Pressig-Rothenkirchen	Ar	2278		111	11.11.2021		gebr	140	1zu160	Brüniert
x	I	KBayStsB			Ohne	-	-	-	-		BBII	L125	2502			Tr	11604-1	11604	64	20.03.2021		gebr	96,99	ebay	Im Set, Wagen mit je 20€ bewertet
	II	DRG			Ohne	-	-	-	-	98^7	BBII	L53	98 731	Regensburg	Passau	Tr	12700		64	11.09.2022		gebr	127,29	ebay	
x	II	DRG			Ohne	-	-	-	-	98^8	GtL4/4	L54	98 811	München	München Hbf	Fl	7098		58	18.03.1995		neu	73,6158050546315	spMax	
	II	DRG			Ohne	-	-	-	-	98^8	GtL4/4	L55	98 811	München	München Hbf	Fl	7098		58	30.10.2018		gebr	55	1zu160	
;Dampftriebwagen
	II	DRG			Ohne	-	-	-	-	CidT		L56	DW 6			Ar	2923		71,5	28.11.2021		gebr	40,4	ebay	ohne Motor! Dieser wäre, mit Schnecken 2923-20, Betriebsnummer Karlsruhe 6
;Dieselloks
x	II	DRG		?	NEM651	x	-	-	-	V16		L57	V 16 101			Tr	12800		90	30.06.2022		gebr	99,99	ebay	
	IV	DR		DH18A	Next18	-	-	-	-	V60.0-1		L126	106 094-6	Greifswald	Pasewalk	HN	2267		68	29.01.2025		neu	115,49	ebay	Rot/grau
	IV	DR		DH18A	Next18	-	-	-	-	V60.0-1		L127	106 030-0	Schwerin	Wittenberge	HN	2356		68	10.09.2020		neu	87,7213445378151	dm-Toys	
	IV	DR		DCX76	Ohne	-	-	-	-	V60.12		L128	106 530-9	Magdeburg	Stendal	Fl	722209		68	10.12.2012		neu	129,99	Pietsch	
x	IV	DB		?	NEM651	-	x	-	-	V60		L129	261 626-6			Tr	12620		68	27.11.2022		gebr	78,5	ebay	
	IV	DR		Ja, welcher?	NEM651	-	-	-	-	V100		L130	111 032-9			Fl	5170001-1	5170001	87	09.12.2023		neu	67,69	Ars Tecnica	Mit Decoder. Preis aus 2 Sets - Verkaufserlös Rest - 3*15€ (Güterwagenbewertung)
	IV	DR		DCX76	NEM651	-	-	-	-	V100		L131	110 226-8	Dresden	Reichenbach	Fl	721001		87	03.01.2013		neu	89,1	MSL	
	IV	DR		Zimo	NEM651	-	-	-	-	V100		L132	115 328-7	Erfurt	Saalfeld	Fl	931405-1		87	21.11.2014		neu	72,02	1zu160	
x	IV	DB			Ohne	-	-	-	-	V100		L133	211 092-2	Stuttgart	Tübingen	Fl	7228		78	17.11.2022		gebr	54,49	ebay	
	IV	DR		N045	Next18	-	-	-	-	V180		L134	118 640-2	Magdeburg	Magdeburg	Fl	721301		121	06.08.2019		neu	146,97	MBS	
	IV	DR		Dummy!	Next18	-	-	-	-	V180		L135	118 616-4	Magdeburg 	Brandenburg 	Fl	721404		121	09.07.2025		gebr	72,5	1zu160	ohne Innenleben; Sparlack
x	IV	DR				-	-	-	-	V180		L136	229 168-1			Fl	721402		121	29.01.2026		neuw	170,75	ebay 	DB-Gehäuse, noch mit Lok Zeile vorher tauschen und dann verkaufen
	IV	DR		Noch einbauen	Next18	-	-	-	-	V180		L137	118 104-9			Fl	7360028		121	21.05.2026		neuw	157,95	ebay 	
	IV	DR		N025	Ohne	-	-	-	-	119		L138	119 006-5	Erfurt	Probstzella	Br	1400		122	07.10.2015		neuw	71,9	ebay	
	IV	DR		Ohne Motor	Ohne	-	-	-	-	119		L139	119 191-5	Magdeburg		Br	61123		122	09.05.2018		gebr	55	1zu160	Dummy. Fahrgestell von 119 085, keine Loknummer an einer Stirnseite, Motor
	IV	DR		Sound	NEM651	-	-	-	-	V200		L140	120 048-4	Erfurt	Gera	Fl	725201		110	02.09.2017		neu	170	1zu160	
	IV	DR		ohne Motor	NEM651	-	-	-	-	V200		L141	120 292-8	Magdeburg 	Stendal 	Fl	725209		110	09.07.2025		gebr	72,5	1zu160 	ohne Innenleben
	IV	DR		DH PD18MU	Next18	-	-	-	-	V300		L142	130 047-4	Halle	Halle G	HN	2296		129	17.01.2024		neuw	119,9	ebay	schwarzer Rahmen, rote Schürze, durchgehende Frontgriffstangen
	IV	DR		SD18A	Next18	x	-	-	-	V300		L143	130 050-8	Berlin	Seddin	HN	2297		129	05.01.2023		neuw	133,68	EKA	
	IV	DR		SD18A	Next18	-	-	-	-	V300		L144	131 158-8	Erfurt	Weißenfels	HN	2227		129	18.11.2015		gebr	99,5	MBFn	Umbau aus 130 058 (140->100km/h)
	IV	DR		DH PD18MU	Next18	-	-	-	-	V300		L145	132 483-9	Magdeburg	Halberstadt	HN	2599		130	17.04.2024		neu	162,59	Fischer Modellbau	War auch im Bw Reichenbach
	IV	DR			Next18	-	-	-	-	V300		L146	142 002-	Greifswald	Stralsund	HN	2600		130	28.08.2026		neu	121,19	ebay 	
;Dieseltriebwagen
