ID	Epoche	BV	Gattungsbezirk	Ordnungsnummer	Direktion	Bahnbetriebswerk	Hst	Art.-Nr.
P69	II	Mitropa		20019				
P70	II	Mitropa		20019				
P71	II	Mitropa		20019				
P72	II	Mitropa		20849				
P73	II	Mitropa		20849				
;Preuß. Eilzugwagen
P74	I	KPEV	Erfurt	3022				
;Fehler 2015
P76	I	DRP	Berlin	2993				
P77	I	DRP	Berlin	2993				
P78	II	DRP	Hannover	99 524				
P79	I	KPEV	Erfurt	126				
P80	I	KPEV	Erfurt	126				
P81	I	KPEV	Erfurt	126				
P82	I	KPEV	Erfurt	126				
P83	I	KPEV	Erfurt	126				
P84	II	DRG	Altona	20 664				
P85	II	DRG	Halle	61 042				
P86	II	DRG	Halle	61 042				
P87	II	DRG	Halle	61 042				
P88	II	DRG	Halle	61 042				
P89	II	DRG	Halle	61 042				
P90	I	KPEV	Erfurt	242				
P91	I	KPEV	Erfurt	262				
P92	I	KPEV	Erfurt	262				
P93	I	KPEV	Erfurt	262				
P94	I	KPEV	Erfurt	262				
P95	II	DRG	Halle	62 049				
P96	II	DRG	Altona	41 800				
P97	II	DRG	Halle	62 049				
P98	II	DRG	Halle	62 049				
P99	II	DRG	Halle	62 049				
P100	II	DRG	Halle	62 049				
P101	II	DRG	Halle	62 049				
;Ruhrschnellverkehr (Set "Ruhrschnellverkehr I")
P102	II	DRG	Essen	30 727				
P103	II	DRG	Essen	41 963				
P104	II	DRG	Essen	41 967				
P105	II	DRG	Essen	41 967				
P106	II	DRG	Essen	41 967				
;Ruhrschnellverkehr (Set "Ruhrschnellverkehr II")
P107	II	DRG	Essen	30 597				
P108	II	DRG	Essen	41 958				
P109	II	DRG	Essen	41 958				
P110	II	DRG	Essen	41 971				
P111	II	DRG	Essen	41 971				
;Einheits-Schnellzugwagen Gruppe 23 (Hechtwagen)
P112	II	DRG	Hannover	105 103				
P113	II	DRP	Nürnberg	268				
P114	II	DRP	Köln	3936				
P115	II	DRG	Hannover	11 005				
P116	II	DRG	Hannover	11 214				
P117	II	DRG	Hannover	11 289				
P118	II	DRG	Hannover	16 043				
P119	II	DRG	Hannover	16 044				
P120	II	Mitropa	Mitropa	36 002				
;Rheingold
P121	II	DRG	Köln	90 202				
P122	II	Mitropa	Köln	20 504				
P123	II	Mitropa	Köln	20 501				
P124	II	Mitropa	Köln	24 508				
P125	II	Mitropa	Köln	24 505				
;Rheingold
P126	II	DRG	Köln	105 002				
P127	II	Mitropa	Köln	10 502				
P128	II	Mitropa	Köln	10 503				
P129	II	Mitropa	Köln	10 710				
P130	II	Mitropa	Köln	10 703				
;Karwendel
P131	II	DRG	München	105 270				
P132	II	DRG	München	16 365				
P133	II	DRG	München	16 367				
P134	II	DRG	München	16 364				
P135	II	DRG	München	15 018				
;ISG-Wagen
P136	II	CIWL						
P137	II	CIWL						
P138	II	CIWL						
P139	II	CIWL						
P140	II	CIWL						
;Einheits-Schnellzugwagen Gruppe 28
P141	II	DRG	Hannover	100 021				
P142	II	DRG	Karlsruhe	100 022				
P143	II	DRG	Altona	100 003				
P144	II	DRG	Hannover	11 343				
P145	II	DRG	Köln	21 507				
P146	II	DRG	Köln	21 507				
P147	II	DRG	Köln	21 507				
P148	II	DRG	München	16 217				
P149	II	DRG	Köln	26 529				
P150	II	DRG	Köln	26 529				
P151	II	DRG	Köln	26 529				
P152	II	DRG	Köln	26 534				
P153	II	DRG	Köln	26 534				
P154	II	DRG	Köln	26 534				
P155	II	DRG	Karlsruhe	16 221				
P156	II	DRG	Karlsruhe	16 223				
P157	II	Mitropa		1045				
P158	II	Mitropa		1052				
P159	II	Mitropa		1052				
P160	II	Mitropa		1052				
;Henschel-Wegmann
P161	II	DRG	Berlin	10 401				
P162	II	DRG	Berlin	10 402				
P163	II	DRG	Berlin	10 403				
P164	II	DRG	Berlin	10 404				
;Einheits-Schnellzugwagen Gruppe 35 (braungrün)
P165	II	DRG	München					
P166	II	DRG	München	16587				
P167	II	DRG	München	16600				
P168	II	DRG	Mitropa	1130				
;Einheits-Schnellzugwagen Gruppe 35 (flaschengrün)
P169	II	DRG	München	105 731				
P170	II	DRG	München	105 731				
P171	II	DRG	München	11 623				
P172	II	DRG	München	11 623				
P173	II	DRG	München	16 579				
P174	II	DRG	München	16 579				
P175	II	DRG	München	16 579				
P176	II	DRG	München	16 579				
P177	II	DRG	München	16 582				
P178	II	DRG	München	16 582				
;Einheits-Schnellzugwagen Gruppe 38 (Schürzenwagen)
P179	II	DRG	Berlin	105 728				
P180	II	DRG	München	4896				
P181	II	DRG	München	11 699				
P182	II	DRG	Berlin	11 703				
P183	II	DRG	Berlin	215 533				
P184	II	DRG	München	214 016				
P185	II	DRG	Berlin	19 225				
P186	II	DRG	München	19 347				
P187	II	DRG	München	19 224				
P188	II	DRG	München	19 224				
P189	II	DRG	München	19 300				
P190	II	Mitropa		22 079				
P191	II	Mitropa		1215				
P192	II	Mitropa		1213				
;Einheits-Eilzugwagen Gruppe 30
P193	II	DRG	Frankfurt	25 139				
;Einheits-Eilzugwagen Gruppe 36
P194	II	DRG	Köln	112 379				
P195	II	DRG	München	33 614				
P196	II	DRG	München	33 614				
P197	II	DRG	München	73 627				
P198	II	DRG	München	73 627				
P199	II	DRG	München	73 627				
;Bay. 3achs. Schnellzugwagen
P200	II	DRG	München	29 001				
P201	II	DRG	München	29 532				
P202	II	DRG	München	29 533				
P203	II	DRG	München	29 535				
P204	II	DRG	München	90 503				
;Bay. Nebenbahnwagen
P205	II	DRG		24 Au				
P206	II	DRG	München	116 663				
P207	I	KBayStsB	Regensburg	21 141				
P208	I	KBayStsB	Regensburg	2721				
P209	II	DRG	München	38 441				
P210	II	DRG	München	38 452				
P211	I	KBayStsB	Regensburg	12 213				
P212	II	DRG	München	93 968				
;Württ. Nebenbahnwagen
P213	II	DRG	Stuttgart	40 015				
P214	II	DRG	Stuttgart	40 015				
