z	Korr	Ep	BV	Bel	Gattung	Bezirk	Wagennr.	Id	OVP	Herst	Art.-Nr.	Set	LüP	Datum	KP	Quelle	Zugschluss	Zuglauf	Anmerkung
		II	DRG	-	C4-pr04	Halle	62 049	P100		Fl	8874	7897	116	14.08.2025	5,238	ebay			
		II	DRG	-	C4-pr04	Halle	62 049	P101		Fl	8874		116	04.03.2013	17,9333333333333	ebay			
;Ruhrschnellverkehr (Set "Ruhrschnellverkehr I")
		II	DRG	-	BC4-pr04;Rot	Essen	30 727	P102		Fl	7883	7887	116	15.06.2015	18,9666666666667	ebay		Essen Hbf - Dortmund Hbf	
		II	DRG	-	C4-pr04;BrRot	Essen	41 963	P103		Fl	7884	7887	116	15.06.2015	18,9666666666667	ebay		Essen Hbf - Dortmund Hbf	
		II	DRG	-	C4-pr04;Rot	Essen	41 967	P104		Fl	7885	7887	116	15.06.2015	18,9666666666667	ebay	?	Essen Hbf - Dortmund Hbf	
		II	DRG	-	C4-pr04;Rot	Essen	41 967	P105		Fl	7885	7887	116	05.05.2025	13,1	ebay		Essen Hbf - Dortmund Hbf	
		II	DRG	-	C4-pr04;Rot	Essen	41 967	P106		Fl	7885	7887	116	05.05.2025	13,1	ebay		Essen Hbf - Dortmund Hbf	
;Ruhrschnellverkehr (Set "Ruhrschnellverkehr II")
		II	DRG	-	BC4-pr04;Lila	Essen	30 597	P107		Fl	8873		116	10.05.2015	19,9975	ebay		Essen Hbf - Dortmund Hbf	
		II	DRG	-	C4-pr04;BrLila	Essen	41 958	P108		Fl	8874		116	10.05.2015	19,9975	ebay		Essen Hbf - Dortmund Hbf	
		II	DRG	-	C4-pr04;BrLila	Essen	41 958	P109		Fl	8874		116	10.05.2025	19,9975	ebay		Essen Hbf - Dortmund Hbf	
		II	DRG	-	C4-pr04;Lila	Essen	41 971	P110		Fl	8875		116	10.05.2015	19,9975	ebay	?	Essen Hbf - Dortmund Hbf	
		II	DRG	x	C4-pr04;Lila	Essen	41 971	P111		Fl	8875		116	10.05.2025	13,1	ebay		Essen Hbf - Dortmund Hbf	
;Einheits-Schnellzugwagen Gruppe 23 (Hechtwagen)
		II	DRG	-	Pw4ü-23	Hannover	105 103	P112		Ro	02062S		117	27.10.2002	10,5975	ebay			Manche Wagen mit Kulisse nachgerüstet, manche mit losen Drehgestellen/Trittbrettern
		II	DRP	-	Post4ü-b/20	Nürnberg	268	P113		Ro	003875		132	18.09.2012	10,48	ebay			
