Bahnhof	lat	lon
Hirschaid	49,819656	10,990705
Hirschbach (Waldviertel)	48,749285	15,127487
Hirschlanden	49,473311	9,502230
Hnewitz	50,453242	14,362049
Hochheim (M)	50,005036	8,350124
Hochstadt-Marktzeuln	50,153064	11,172323
Hockenheim	49,317457	8,537407
Hockeroda	50,597459	11,434364
Hof Hbf	50,307432	11,922998
Hof Hp	50,321464	11,904888
Hofen (b Spaichingen)	48,079140	8,730826
Hofheim (Ried)	49,660406	8,410206
Höflein (Donau)	48,350203	16,269979
Hof-Moschendorf	50,293849	11,932569
Hög	48,647428	11,534958
Höhenberg	48,458978	12,303915
Hoheneich	48,762186	15,028095
Hohenkrähen	47,782193	8,823824
Hohenleipisch	51,295100	13,342200
Hohenthurm	51,512321	12,097750
Holenbrunn	50,050746	12,034235
Holoubkau	49,837429	13,836250
Holzdorf (Elster)	51,464500	13,065200
Hönebach	50,935248	9,943228
Honnef (Rh)	50,640153	7,219219
Hönningen (Rh)	50,513536	7,310801
Hopfgarten (b Weimar)	50,984640	11,217728
Horb	48,441672	8,688941
Horchheim (Rhein)	50,332696	7,596359
Hornberg	48,211691	8,232794
Horowitz	49,843075	13,898735
Hörschel	51,008138	10,231619
Hörsching	48,230505	14,155712
Hostivar	50,055100	14,535170
Hötzelsdorf-Geras	48,743965	15,666847
Hrdlorecy	48,873409	14,879093
Hrdly	50,484927	14,174080
Hrobetz	50,460236	14,228325
Hubertendorf	48,133903	15,019160
Hügelheim	47,832172	7,613440
Hundsgrün	50,366461	12,211432
Hünfeld	50,673264	9,762554
Hütteldorf-Hacking	48,196303	16,265259
Igling	48,071312	10,812092
Ilberstedt	51,806386	11,647396
Immendingen	47,936184	8,729153
Immenstadt	47,559210	10,213938
Ingolstadt Hbf	48,744757	11,437454
Ingolstadt Nord	48,772709	11,432304
Inningen	48,311629	10,869083
Irrenlohe	49,376701	12,113843
Istein	47,661514	7,541599
Jacobsthal	51,225500	13,184300
Jena Paradies	50,924841	11,587315
Jena Saalbf	50,936093	11,592894
Jena-Zwätzen	50,955669	11,620703
Jeßnitz (Anh)	51,682561	12,277222
Jettingen	48,399349	10,445080
Jocketa	50,559265	12,172980
Joseflhütte	49,821262	12,779331
Jößnitz	50,538431	12,141309
Jüterbog	51,595100	13,031400
Jüterbog Altes Lager	52,017523	12,988951
Jütrichau	51,934846	12,125216
Kahla (Thür)	50,809298	11,588774
Kahlenbergerdorf	48,274853	16,355896
Kainreith-Walkenstein	48,710560	15,720406
Kamp (Rh)	50,228128	7,617731
Kanden-Brunnersdorf	50,411581	13,257494
Karbitz	50,679383	13,919592
Karlsbad ob Bf	50,235458	12,866707
Karlsruhe Hbf	48,993636	8,400657
Karlsruhe-Durlach	49,001957	8,462391
Karlsruhe-Hagsfeld	49,027063	8,453894
Kartitz	50,724557	14,185710
Kassel Hbf	51,318302	9,489462
Kassel-Oberzwehren	51,276709	9,454036
Kassel-Wilhelmshöhe	51,313608	9,445925
Katzwang	49,355209	11,042461
Kaub	50,083141	7,768707
Kaufbeuren	47,875483	10,629444
Kaufering	48,080946	10,854235
Kempten (Allgäu) Hbf	47,711754	10,317492
Kempten-Hegge	47,687926	10,315905
Kenzingen	48,194586	7,763901
Kersbach	49,684929	11,059113
Kerzell	50,483016	9,657841
Kestert	50,187231	7,648716
Ketwa	50,366927	13,153467
Kienberg	52,662823	12,909751
Kimpling	48,266484	13,668838
Kippenheim	48,298897	7,806730
Kirchanschöring	47,953490	12,831345
Kirchenlamitz Ost	50,165766	11,985848
Kirchhasel	50,723416	11,397114
Kirchheim (b Würzburg)	49,657405	9,857740
Kirchheim (Neckar)	49,037418	9,150496
Kirchweidach	48,092872	12,648354
Kirnach-Villingen	48,071082	8,419991
Kirrlach	49,253969	8,514576
Kissing	48,303065	10,959034
Kl Hermanitz-Sedletz	49,603312	14,583235
Kläham	48,668632	12,179289
Klardorf	49,273629	12,116375
Klasdorf	52,011900	13,323400
Klein Czernosek	50,538117	14,056599
Klein Meiseldorf-Maria Dreieichen	48,664777	15,748558
Klein Wittenberg	51,870609	12,607927
Kleinkems	47,685557	7,524519
Kleinmünchen	48,255713	14,331408
Klengen	48,007496	8,465652
Klieken	51,894609	12,371464
Klingenberg (Württ)	49,118939	9,159679
Klösterle (Eger)	50,385209	13,196125
Klosterneuburg-Kierling	48,316994	16,315727
Klosterneuburg-Weidling	48,297299	16,334352
Köfering	48,932424	12,208042
Kolin	50,025608	15,213318
Kollmarsreute	48,098088	7,886724
Köln Hbf	50,943814	6,957843
Köln-Deutz	50,940961	6,974859
Köln-Kalk	50,935823	6,996746
Komotau Hbf	50,456575	13,399630
Komotau Hp	50,469797	13,413792
Köndringen	48,137454	7,802696
Königsberg (Eger)	50,125589	12,519296
Königsborn	52,134015	11,756401
Königshofen (Baden)	49,545874	9,724703
Königstein (Sächs Schweiz)	50,956399	14,076319
Königswinter	50,678622	7,193470
Könitz (Thür)	50,659527	11,486979
Konradsgrün	50,026932	12,503729
Konstanz	47,658104	9,176846
Konstanz-Petershausen	47,674837	9,171395
Körbitz	50,445809	13,362379
Körle	51,171702	9,512959
Kornwestheim Pbf	48,862117	9,179935
Kostel	48,838509	16,852684
Köthen	51,751371	11,988487
Kötzschau	51,181600	12,072900
Kralup	50,238532	14,313126
Kremmen	52,753906	13,039656
Krenstetten-Biberach	48,070394	14,757385
Krimice	49,751882	13,303928
Krippen	50,912558	14,161205
Kritzendorf	48,343015	16,293068
Krölpa-Ranis	50,677588	11,543283
Kronach	50,239602	11,320210
Krondorf-Warta	50,340476	13,058023
Krossen (Elster)	50,966049	11,983681
Krumnußbaum	48,207287	15,162334
Kumpfmühl	48,268426	13,620729
Küps	50,195858	11,267767
Kurort Rathen (Sächs Schweiz)	50,956372	14,076061
Kuttenplan	49,903425	12,723198
Kuty	48,658881	17,045374
Laaber	49,069930	11,883087
Ladenburg	49,473702	8,602209
Lahr-Dinglingen	48,340420	7,834711
Lambach	48,094133	13,871269
Lamerdingen	48,093101	10,731926
Lampertheim	49,597805	8,478355
Lamplmühle	49,765466	12,173495
Landsberg (b Halle)	51,532802	12,166758
